Region	KKindex	KKx	KKy	Signal	LMpval	LMq	LMI	geometry
11:110780000-114760000	1	0.5256959102238268	0.5694139833795789	-3.5471913499528234	0.33199336013279734	2	-0.1107408703056833	POLYGON ((0.5866989005318659 0.5449116270821094, 0.5840035035641054 0.5390502739633111, 0.5807465725983052 0.5334813399646834, 0.5769594736600856 0.528258456964922, 0.5726786785824605 0.5234319241824331, 0.567945413762148 0.5190482237663632, 0.5628052631268335 0.5151495731480933, 0.5573077291370273 0.5117735184642968, 0.5515057560503089 0.5089525729671176, 0.5454552200391846 0.5067139039037795, 0.5392143910730008 0.5050790708811432, 0.5332788816545319 0.5041332188385056, 0.4788838854522148 0.5535067058007404, 0.478704083703342 0.5544376869196943, 0.4855504804344047 0.5794219258395836, 0.5123261429682 0.6019836997342783, 0.5961061887207089 0.5683327504729313, 0.5866989005318659 0.5449116270821094))
11:110780000-114760000	2	0.5445104866015126	0.6162562301612227	-1.5025564842695718	0.35665286694266113	4	-0.11438740431666719	POLYGON ((0.6053382716998158 0.5913176692154457, 0.5961061887207089 0.5683327504729313, 0.5123261429682 0.6019836997342783, 0.5149896036408428 0.6392958781779101, 0.5313610265808433 0.6468955681969498, 0.6141071481538942 0.612277621951818, 0.6053382716998158 0.5913176692154457))
11:110780000-114760000	3	0.562411089864376	0.6590434447270824	-3.5471913499528234	0.19365612687746245	2	-0.26461531416584233	POLYGON ((0.5797850612605415 0.7227947619726228, 0.5860014497304054 0.7204048757081318, 0.5920095289911992 0.7177432121193524, 0.5977218692749224 0.7144950375632724, 0.6030813945423643 0.7106928068533513, 0.6080345539791259 0.7063745107706546, 0.6125318570597501 0.701583296471041, 0.6165283680426278 0.6963670363713572, 0.6199841549548307 0.6907778498222017, 0.622864688580747 0.6848715823465636, 0.6251411874679392 0.6787072476476341, 0.6267909055030292 0.6723464379610837, 0.627797359184233 0.6658527086433953, 0.6281504923197061 0.6592909431452656, 0.6278467765060823 0.6527267047150767, 0.6268892463832513 0.6462255813100269, 0.6252874693131208 0.639852530260379, 0.623057449785326 0.633671229234748, 0.6141071481538942 0.612277621951818, 0.5313610265808433 0.6468955681969498, 0.5532821114436369 0.703915009336338, 0.5797790375578629 0.7229059472244921, 0.5797850612605415 0.7227947619726228))
11:110780000-114760000	4	0.5164452573695986	0.6767149773617811	-2.0135519838363867	0.4647307053858923	1	0.009368418040916853	POLYGON ((0.5149896036408428 0.6392958781779101, 0.4971252922239047 0.6501198905348075, 0.4833133785092014 0.6865958313038536, 0.4878809440934911 0.7003717589471784, 0.5532821114436369 0.703915009336338, 0.5313610265808433 0.6468955681969498, 0.5149896036408428 0.6392958781779101))
11:110780000-114760000	5	0.513722252711408	0.7269760833480793	-1.0007152528359755	0.4727705445891082	4	-0.058989970299588815	POLYGON ((0.5673511938277104 0.7649980107768017, 0.5706755988093031 0.7598097042099983, 0.5734996186610751 0.75433292546793, 0.5757984418901652 0.7486157928584681, 0.5775518713169737 0.7427085364091529, 0.5787445015251121 0.7366630565523169, 0.5793658542115058 0.7305324681342378, 0.5797790375578629 0.7229059472244921, 0.5532821114436369 0.703915009336338, 0.4878809440934911 0.7003717589471784, 0.4754167843053459 0.7278630007806367, 0.5541191228251865 0.7836615032568022, 0.5673511938277104 0.7649980107768017))
11:110780000-114760000	6	0.4872581107063603	0.7643030683080801	-3.5471913499528234	0.44789104217915643	3	0.052609200430375785	POLYGON ((0.4833772952846618 0.8299282887824798, 0.4900345488179317 0.8299842808582719, 0.4966633281695304 0.8293666693083425, 0.5031956508885866 0.8280817881415072, 0.5095645237498373 0.8261428146512263, 0.5157046298127977 0.8235696342738753, 0.5215529982895403 0.8203886366506397, 0.5270496503511497 0.8166324449845513, 0.5321382142496899 0.8123395814682886, 0.5367665034472043 0.807554072213992, 0.5408870518226626 0.8023249957368026, 0.5541191228251865 0.7836615032568022, 0.4754167843053459 0.7278630007806367, 0.4739848039351725 0.7286550879833739, 0.456387074599642 0.7943583317330785, 0.4593466427774254 0.8044445077916929, 0.48316305357431 0.829904686529454, 0.4833772952846618 0.8299282887824798))
11:110780000-114760000	7	0.44467088838224395	0.7528966541214863	-1.1329479637448188	0.025479490410191798	4	-0.568588186665549	POLYGON ((0.4267197513287043 0.7232969057666006, 0.422750424609536 0.7631300023149943, 0.456387074599642 0.7943583317330785, 0.4739848039351725 0.7286550879833739, 0.4267197513287043 0.7232969057666006))
11:110780000-114760000	8	0.4141707454100741	0.7857489601180075	-3.5471913499528234	0.1969960600787984	3	0.1974918047300065	POLYGON ((0.390217400316365 0.8095872577551497, 0.4593466427774254 0.8044445077916929, 0.456387074599642 0.7943583317330785, 0.422750424609536 0.7631300023149943, 0.3932853089548005 0.7718079748300647, 0.390217400316365 0.8095872577551497))
11:110780000-114760000	9	0.4174343681200675	0.8296188288115475	-3.5471913499528234	0.27137457250854985	3	0.1786473596658738	POLYGON ((0.4533406412246347 0.8846866945990564, 0.4585062160590297 0.8809494590193447, 0.46328547006075 0.8767294087429811, 0.4676334496794162 0.8720662374632981, 0.4715092579213202 0.8670038068593308, 0.4748764390255836 0.861589734033898, 0.4777033213661841 0.8558749436282578, 0.4799633153545228 0.849913188826132, 0.4816351635404672 0.8437605457525293, 0.4827031405594254 0.837474886023036, 0.4831572010447547 0.8311153324047653, 0.4831259204376626 0.8299005957028575, 0.48316305357431 0.829904686529454, 0.4593466427774254 0.8044445077916929, 0.390217400316365 0.8095872577551497, 0.386430141631136 0.8133416004119467, 0.3854695041889307 0.8191730784894599, 0.4356906981548421 0.8961951063938675, 0.4533406412246347 0.8846866945990564))
11:110780000-114760000	10	0.3821344819804822	0.8526356524011696	-0.9112929773991797	1.999960000799984e-05	4	-0.990883101791305	POLYGON ((0.333163812086812 0.8964945600576085, 0.337850220841177 0.9012220137178671, 0.3429906817039474 0.9054513052946217, 0.3485324888823005 0.9091390713285283, 0.354418821529078 0.9122475006898557, 0.3605893263340908 0.9147447222607612, 0.366980736334211 0.9166051317138776, 0.3735275195975157 0.9178096540367071, 0.3801625511304406 0.918345939110128, 0.3868178011187953 0.9182084883357208, 0.3934250324460191 0.9173987110135917, 0.3999165003369328 0.9159249098926405, 0.4062256469534541 0.9138021960414302, 0.4122877838204955 0.9110523339124974, 0.4180407550850494 0.9077035181886784, 0.4356906981548421 0.8961951063938675, 0.3854695041889307 0.8191730784894599, 0.3258890114473257 0.8725343115490254, 0.3320295703204669 0.8952281222440086, 0.333163812086812 0.8964945600576085))
